Dst_Port,Protocol,Flow_Packets,Flow_Bytes,Flow_Duration,Packet_Rate,Byte_Rate,TCP_Flags_Sum
36358,17,1,344,0.001,1000.0,344000.0,0
63181,6,16,3656,4.230502128601074,3.782056955326676,864.2000142921454,27
17464,17,1,153,0.001,1000.0,153000.0,0
62346,6,14,7338,4.174191951751709,3.3539425502760767,1757.9450309947035,27
21410,17,1,127,0.001,1000.0,127000.0,0
53238,17,16,6489,0.1485750675201416,107.68967005740016,43674.89181265435,0
62007,17,12,5246,0.0903999805450439,132.74339139952264,58030.98594015798,0
62287,6,34,13218,45.14068102836609,0.7532008650608226,292.8179127757045,26
38018,17,1,99,0.001,1000.0,99000.0,0
443,6,9,621,76.92164206504822,0.1170021824597714,8.073150589724229,29
63171,6,17,5760,4.26285195350647,3.987940511519854,1351.208079197315,27
53421,17,34,34237,1.3478479385375977,25.225397485779947,25401.233344724944,0
56044,6,20,7549,0.6805219650268555,29.38920568009989,11092.955683953704,27
60271,17,12,5411,0.1050288677215576,114.25430227252606,51519.16913305321,0
56516,17,1,105,0.001,1000.0,105000.0,0
42750,17,1,108,0.001,1000.0,108000.0,0
56394,6,10,7147,5.624444961547852,1.7779532146489336,1270.7031625095929,27
62324,6,12,5478,10.122488021850586,1.185479298577245,541.1712998005124,27
443,6,24,6220,166.50194096565247,0.1441424638103824,37.356921870857455,27
31385,17,1,137,0.001,1000.0,137000.0,0
43651,17,1,96,0.001,1000.0,96000.0,0
443,6,18,6672,35.46568298339844,0.5075328736352219,188.12551849412228,27
64933,17,1,124,0.001,1000.0,124000.0,0
46351,17,1,99,0.001,1000.0,99000.0,0
15270,17,1,166,0.001,1000.0,166000.0,0
56596,6,13,6992,7.434167861938477,1.7486826019301398,940.5222117458106,31
62204,6,21,4448,1.0162100791931152,20.665018414966212,4377.047709989034,27
61921,17,30,10543,9.740952968597412,3.0797808075568263,1082.3376351357206,0
61818,17,1,100,0.001,1000.0,100000.0,0
56333,6,20,18256,0.261044979095459,76.61514911836858,69934.30811524685,27
443,6,10,1492,0.874863862991333,11.4303498212945,1705.4081933371394,27
62048,6,14,4920,0.4735560417175293,29.563554820721382,10389.477836996371,27
42043,17,1,145,0.001,1000.0,145000.0,0
12746,17,1,158,0.001,1000.0,158000.0,0
56666,6,8,3904,4.342126131057739,1.8424153878853824,899.0987092880666,27
44773,17,1,168,0.001,1000.0,168000.0,0
56139,6,16,6976,7.6723549365997314,2.085409255986657,909.2384356101824,27
62035,6,17,7828,1.4704890251159668,11.560779923984358,5323.399132055856,27
56183,6,9,2711,8.22425103187561,1.0943245731578153,329.6348797589819,27
56363,6,37,23026,1.9811928272247312,18.67561778518543,11622.291219504858,27
443,6,69,18072,55.63169002532959,1.2403002671424093,324.85081779416845,27
12256,17,1,91,0.001,1000.0,91000.0,0
53647,17,1,164,0.001,1000.0,164000.0,0
1788,17,1,124,0.001,1000.0,124000.0,0
443,6,91,56224,9.030351877212524,10.07712669864308,6226.113972577018,27
56695,6,3,174,4.80837607383728,0.6239112652446666,36.18685338419066,19
443,17,920,96606,13.308621168136597,69.12812291949952,7258.903742131708,0
49989,17,1,199,0.001,1000.0,199000.0,0
65349,17,1,93,0.001,1000.0,93000.0,0
34630,17,1,108,0.001,1000.0,108000.0,0
5008,17,1,365,0.001,1000.0,365000.0,0
56754,6,12,6101,3.0444469451904297,3.941602601732776,2003.976456097639,27
62054,6,11,6254,5.086080074310303,2.16276579198208,1229.6306602778118,27
18077,17,1,158,0.001,1000.0,158000.0,0
62281,6,12,9654,67.86172890663147,0.1768301543939496,142.2598592099325,27
64916,17,1,143,0.001,1000.0,143000.0,0
443,6,16,2921,11.069844961166382,1.4453680296452995,263.87000091211996,31
64254,6,22,6021,2.2875661849975586,9.617208080920935,2632.0549934193164,27
38339,17,1,135,0.001,1000.0,135000.0,0
62203,6,2673,3053714,14.538763999938965,183.85331793068664,210039.45039707777,27
56202,17,15,8328,0.1336591243743896,112.22578383787572,62307.75518678861,0
16086,17,1,107,0.001,1000.0,107000.0,0
56677,6,13,6730,4.244824171066284,3.06255323568195,1585.4602520107326,27
38451,17,1,125,0.001,1000.0,125000.0,0
443,6,12,2595,3.219897985458374,3.726826146105905,805.926154095402,27
52949,17,14,5565,0.1488871574401855,94.03094424463312,37377.300337241664,0
443,6,11,2596,62.82287001609802,0.1750954707605894,41.3225310994991,27
