Dst_Port,Protocol,Flow_Packets,Flow_Bytes,Flow_Duration,Packet_Rate,Byte_Rate,TCP_Flags_Sum
0,2,5,230,30135.571009874344,0.00016591688268862334,0.007632176603676674,0
5353,17,19,2184,30246.776489019394,0.0006281661124086279,0.0722060415526549,0
16167,17,1,248,0.001,1000.0,248000.0,0
14794,17,1,276,0.001,1000.0,276000.0,0
443,6,219,33662,30247.253576993942,0.00724032677686054,1.1128944290533311,223
49524,6,55,69006,57.79664611816406,0.9516123113364333,1193.9447119287622,91
123,17,37,3330,29628.46019911766,0.001248799287959685,0.11239193591637164,0
5223,6,269,52102,30358.071537971497,0.008860905399196328,1.716248673267387,159
137,17,36,3636,30003.89651107788,0.0011998441597979872,0.12118426013959671,0
123,17,24,2160,29628.24618911743,0.0008100378215709336,0.07290340394138403,0
64147,6,26,1944,2093.2868580818176,0.012420657923503655,0.9286830385881195,24
123,17,26,2340,27032.411776781082,0.0009618083733961226,0.08656275360565104,0
123,17,14,1260,12271.94923710823,0.0011408130631494504,0.10267317568345052,0
62939,17,1,268,0.001,1000.0,268000.0,0
52413,17,1,222,0.001,1000.0,222000.0,0
62601,17,1,150,0.001,1000.0,150000.0,0
443,6,265,53664,30116.845288991928,0.0087990623671617,1.7818599353636433,223
64262,6,33,38623,0.08289313316345215,398.10293978065977,465937.2679741946,90
52486,17,1,221,0.001,1000.0,221000.0,0
53288,17,1,174,0.001,1000.0,174000.0,0
64684,17,1,164,0.001,1000.0,164000.0,0
443,6,94,32737,19047.64646601677,0.004934992896246106,1.7186900260043485,223
64263,6,12,10154,1.0598609447479248,11.32224001598064,9580.502093522284,90
58021,17,2,360,1.0013580322265625e-05,199728.7619047619,35951177.14285714,0
50013,17,2,406,2.1457672119140625e-06,932067.5555555555,189209713.7777778,0
62855,17,2,438,9.5367431640625e-07,2097152.0,459276288.0,0
50027,17,2,266,9.5367431640625e-07,2097152.0,278921216.0,0
62918,17,2,554,9.5367431640625e-07,2097152.0,580911104.0,0
51128,17,1,149,0.001,1000.0,149000.0,0
64727,17,2,372,8.106231689453125e-06,246723.76470588235,45890620.23529412,0
60028,17,1,203,0.001,1000.0,203000.0,0
52685,17,2,452,2.86102294921875e-06,699050.6666666666,157985450.66666666,0
61210,17,1,219,0.001,1000.0,219000.0,0
62396,17,1,133,0.001,1000.0,133000.0,0
50614,17,1,149,0.001,1000.0,149000.0,0
62066,17,1,149,0.001,1000.0,149000.0,0
62608,17,1,180,0.001,1000.0,180000.0,0
64984,17,1,277,0.001,1000.0,277000.0,0
53274,17,1,226,0.001,1000.0,226000.0,0
49954,17,1,186,0.001,1000.0,186000.0,0
27637,17,1,137,0.001,1000.0,137000.0,0
31912,17,1,205,0.001,1000.0,205000.0,0
48784,17,1,137,0.001,1000.0,137000.0,0
55519,17,1,205,0.001,1000.0,205000.0,0
59580,17,1,255,0.001,1000.0,255000.0,0
63325,17,1,240,0.001,1000.0,240000.0,0
0,1,77,5390,29746.935173988342,0.0025885019599374134,0.18119513719561892,0
443,6,331,81417,30088.628599882126,0.011000833717004195,2.7059059780584005,223
